Text,Label
"ಇದು 90% ಎಲ್ಲಾ ತುಳುವರ ಅಭಿಪ್ರಾಯ, ಆದರೆ ಕನ್ನಡಿಗರಿಗೆ ಕನ್ನಡ ಮಾತ್ರ ಇರಬೇಕು. ಕಾಮೆಂಟ್ ಮಾತ್ರ ಕನ್ನಡ ತುಳು ನಮ್ಮದೇ ಭಾಷೆಗಳು ಅಂತ ಮಾಡ್ತಾರೆ...<br><br>ತುಳುವರು ಕರವೇ ಪುಂಡಾಟಿಕೆ ವಿರೋಧ ಮಾಡೋದೇ ಹೊರತು ಕನ್ನಡವನಲ್ಲ....",not tulu
anda enchi saav da add lu  maare nadu nadutu...,not offensive
Yakshaganada choukattuve gotthijji,not offensive
Marre Chaddi save,offensive untargeted
ಏರ್ ಮಾರ್ರೆ ಮರ್ಲೆ ಡೈರೆಕ್ಟರ್,offensive untargeted
Comedy Enchina pankda,offensive untargeted
Saav apuja marre Nik nachige,offensive untargeted
undh kelsa dhaantina aachari da bele....fukat advice korpina janukul 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,not offensive
Wahhh Arvindnna too good always,not offensive
Konkani already have Goa for them. Only Tulu need a separate state or UT.,not tulu
Urda kamukanklen kerle bokka gattad bagge patherle Bvc let First,offensive untargeted
ಆ ಒಂದು ಸಣ್ಣ ಗ್ರೂಪ್ ಯಾವುದು ಎಂದರೆ ಗಟ್ಟದ ತಗ್ಗಿನ ಕುರುದೆ ಗಳು,not tulu
Super 👌 yakshagana...Walter  Sr  thanks,not tulu
Yenchi kann bene apund mare >> blinking n unthale mare sav mare,offensive untargeted
We want Keerti come back laxmi barmma ❤😢,not tulu
Full padle anna pls...,not offensive
Aravind bolar idu ammedu astu Lik ella,not offensive
Av flim budle plz yan tutuji,not offensive
Nina Amman Tull... bvc 🐕 @@user-frgggghgfddg,offensive targeted
2 ne part padle anna,not offensive
eth janata padkke pariyara😅,not offensive
Tanvi g Tulu barpuja?,not offensive
"Awesome ️', ""Masth ''Prathibhavanthe ''yeklena Tulu nadada Magal Rakshitha.. ."", 'Super acting",not offensive
er bhayankara mare,not offensive
ಎಡ್ಡೆ ಬಕೆಟ್ ಗಿರಾಕಿಳು ಮರೆ 🤣,not offensive
is that same pooti girl???,not offensive
Kapikad mastrena lyrics super,not offensive
Halkat hajame modina  punk geesere fit  kalve vijaye,offensive targeted
ಯೆಂಚಿ ಸಾವ್ ದ ಕಾಮಿಡಿ,not offensive
Aye paduje ಚಡ್ಡಿಲ,offensive untargeted
Pukuli ath thigale,offensive untargeted
Awesome both off u 👌🏻👌🏻👌🏻✌✌,not tulu
Aye sonu nigamn panka.,offensive targeted
Pottanda ragale ijji,not offensive
Englishchi Bhagagavathike marre!!!.,not offensive
15 jana enabe bevarsi yanklada jan ejjanbe maga ninnau oribala kadpareundu,offensive targeted
"Eth ಪಂಡಲ ನಾಚಿಕೆ  ಇಜ್ಜಿ ಮಾರೆ ಮೋಲೆಗ್ ,  ಬಿಕ್ಷಿಕೆರೆಡ್ಡ  ಕಡೆ  ಉಲ್ಲ  ,",offensive untargeted
Maya avandina puniya Saman,offensive untargeted
kushal kumar nick marl,offensive untargeted
"Av aath sulabha ath sir 1 gante audience n pathd kullavod bore aavanleka panda avla e entertainment kalod panda masth kasta and 30 minutes aandala content yede ithnda yaru ,",not offensive
Thoo Savda comedy,offensive untargeted
Nicklna punkda comedy ya byavarcile.nickleg hindu dever nakulu thikniya ya yenchina comedy malpere,offensive untargeted
U missing santhu 😂😁😀we also santhu 😀😂,not tulu
Namma Tulu nadudu yenchina pratibhelu mareee 😅,not offensive
Padle marre final episode...,not offensive
Areda  avu  ejji  atha  erena  dada  bathund😂,not offensive
Yenne ninna Amma k** pad bvrc,offensive targeted
ye devare kenreg avondijji mare...ha..ha..ha..kudladakul ullera moolu...,not offensive
Atigela Myitidila jore yebbo.,not offensive
Ya non stop comedy<br>Super duper hit act<br>😀😀😀😀😀😀😀😀😂😂😂😂😂😂😂😂😂😂😂😂,not tulu
Kannadada pee G.K bhat😂 thinthinaye,offensive targeted
Mast mast Mata,not offensive
Savda kapikad comedy,offensive targeted
anna aa santhun onju kale dakle av onji topic bore apund,not offensive
Hlo....yank la breathless song mast ista.....😍😍,not offensive
@rithikshetty4693  😂i think yavu unthaganandh darmogu nachikettunu dayeg ..,not offensive
@@sohanm3051 What about Tulu people when they did the same to Kannadigas and to the language and culture?,not tulu
Santhu face reveal pls😆,not tulu
Inchene pura seen padi boka film enek tupini karma..e picture edde iji,not offensive
Wow masth layk aatnd ❤,not offensive
Yenchi comedy savuda,offensive untargeted
Eglu aste avra avra padige avru madudu.,not offensive
Naiye,offensive untargeted
ನಿನ್ನಂತಹ ನಾಮರ್ಧ ರಿಂದಲೇ ಕನ್ನಡನಾಡಿಗೆ ಕೆಡಕು. ಘಟ್ಟದ ತಗ್ಗಿನಲ್ಲಿ ನಿನ್ನ ಉತ್ತರ ಕರ್ನಾಟಕದ ಜನರು ಮಾಡುವುದು ಒಂದೇ ಕೆಲಸ ಅದುವೇ : ತುಳ್ಳು ಜನರ ಕಸ ಎತ್ತುವುದು! 😂😂,not tulu
o  chattu  ynechina bagulne,not offensive
Enchi s...v.... mareyadi ethunda padduver mare Churandala,offensive targeted
"""season 4 aath laikh ijji keep it up",not offensive
Bolar is lagend always.,not tulu
ಅಂಗಡಿಗ್ ಸೇಲ್ ಅವ ಮರೆ.. ಎಂಚಿನ punkda comedy ya ಅಂಗಡಿದಾಯೆ ಅಂಚ ಮಲ್ತುನ್ದ..,offensive untargeted
@@manishshetty5202first g shetty pudar deppula baka kirala ninna shetty pudar n gujurig korla bobbe padla...,offensive targeted
@@zoro4994 your GDP will be like Somalia without Karnataka. Tulunadu is getting money as your people are making money by doing business in Karnataka.,not tulu
Andala supar athnd,not offensive
Jai tulnad 🚩🚩✌️🚩♥️,not offensive
Yenchi marre saav !! Dada matha Maya undaaa,offensive untargeted
ತುಳುನಾಡೇ ಬೇರೆ ಕರುನಾಡೇ ಬೇರೆ,not tulu
ಮರ್ಲ್ ನಿಕ್ ಲೆ ಗ್,not offensive
As a kundapura kannadiga I can&#39;t speak Tulu language. But it was beautiful language and my support to Tulu language.<br>Also name plates should be in English.<br>Jai Tulunadu👍,not tulu
ಕನಡವೇ ಸತ್ಯ ಕನ್ನಡವೇ ನಿತ್ಯ💛❤,not tulu
yabaa avu yeru joker na laka hero ...ayen thoonaga vomit barpundu,not offensive
@@surakshshetty7851 brother hindi speaker jaasti edare but almost 60 to 70% people mother tongue is not hindi,not tulu
Ajji qut ummmmmmmmmmmma lvu,not tulu
Girgit movie upload malpale,not offensive
"""deepak devadiga ,enk celebrity ista ijji.namma deshon rakshane malpuna sainiker masth ista .""",not offensive
ಕನ್ನಡ ಅಭಿಯಾನಕ್ಕೆ ಸ್ವಾಗತ....,not tulu
Actually I figured out who is  santhu actually I saw his face,not tulu
"<a href=""https://www.youtube.com/shorts/tsNTGAiWNkk"">https://youtube.com/shorts/tsNTGAiWNkk?si=WWtb8e11xyieiYZ4</a><br><br>ದುಬೈ ನಲ್ಲಿ ಸುಲಭವಾಗಿ ಅವಲಕ್ಕಿ ತಿಂಡಿ ಮಾಡುವ ಸುಲಭ ವಿಧಾನ. ಉಡುಪಿ ಕುಂದಾಪುರ ಮಂಗಳೂರು ಶೈಲಿಯಲ್ಲಿ. ತುಂಬಾ funny ಇದೆ ವಿಡಿಯೋ ಸ್ನೇಹಿತರೆ",not tulu
Marre eductn systm sma iji Stya,offensive targeted
Why this girl calling herself Chakka. Some one tell her the meaning of that word.,not offensive
yenchina thinpatike chi😡,not offensive
Yenchi saavda movie marre,offensive untargeted
Erteyaa yake Ninu yake chadddi and bra alli,offensive untargeted
Program ardha gantedala ijji,offensive untargeted
😂😂😂màsth yistand .Halli síde patherulaka  comedy yithnd.😀😀,not offensive
Dadala panle ayena moned pukuli Maya atina feeling ijji,offensive untargeted
"This man cannot match arpit, e janata yapala onte bore",not offensive
I like heroine voice anda enchi savuda tulu mare,not offensive
E yermbe ghattada nayidamaga,offensive untargeted
Sir...ithe sumathi areg sadhid thikkina aari yer birkdhini,not offensive
"Showrdh deppule A naidha magan, ijjinda bale telipalen tupujer",offensive targeted
Kannada dalli madi plz,not tulu
Ya anusar Ulle namala Illallah Tulu Ne Patra Pune,not offensive
unlike mltina ______ lu yer marre 😠,not offensive
Add tulu language... along with kannada for outside tourists and people.... its simple thing.. dont over hype?,not tulu
This video maybe lacks of times I watched,not tulu
"Prajna akka daye marre Dhanrajer g i namune kelasa korpunu,",not offensive
enchina saawda camera work.  improvements awodu. web series’s itthe agathya itthijji. tulu movie g,not offensive
Saav da padya Yenchi,offensive untargeted
Lekod jasthi santhu...nh use malpade bro limit epad,not offensive
"Bale telipale,. ""prashamsha team"" it\'s very comedy Team.. I\'m so happy",not offensive
​@@nesara106e yerya bvrc,offensive untargeted
Ee movie baari shokundu<br>Baari porluda movie ❤️❤️❤️,not offensive
Mare Yebbe imbana onji pukuli,offensive untargeted
"""Top dailog nama UB dakul..,♥️♥️""",not offensive
altha meendha taste poora podh uppu....😅😅😅,not offensive
Yedde comedy film 😜<br>Tulunada manikya arwind bolar na yedde comedy baari porluda movie,not offensive
ಕಾತೊಂದು ಇತ್ತೆ ಈ ಕಲಾವಿದೆನಾ ಪಾತೆರಕಥೆಗ್...❤,not offensive
Va bevasi tulu bhashe budpuja bogulundasa soole mage,offensive targeted
"Kurthel kusal', ""this is true copy of kapil sharma's comedy...",not offensive
Cute Ajji... loved her,not tulu
Nija ...onjonji padala manas g naatundu .. aven panthinarla aath porludu panther ...song baredinareg music korthinareg bokka aven  panthinareg🙏🙏🙏🙏🙏💖💖,not offensive
🤣🤣🤣super vedio bro ancha naa padada bro vedio,not offensive
mathra yerla support maldijer athe😓,not offensive
Super comedy.  Both are too good. Waiting every  Sunday to watch this program,not tulu
Look like kule Sister,offensive targeted
"Nice Review, great script, yedde voiceover. Into AV match aayiji",not offensive
Keerthi we are missing you in Laxmi baramma serial,not tulu
Aalonji heroin chi...,not offensive
andd marre yan  3 sala repeat malth kende bokkala artha aad ithji😂😂,not offensive
Saavu molna,not offensive
ನಿಮ್ಮ ಅಮನ ತುಲ್ 😂😂,offensive untargeted
@@Ramachandra-k4x kunnediga danimbe byavarsi,offensive untargeted
Nim avvnu agak bedalla,not tulu
dove malpuchi akka jasti avvu matrgala gottundu,not offensive
Soole bhatta Poya bvrc bhatta ninnamme kannada dayena?😂 Bhatta na juttu kothimari kattu,offensive targeted
Imbe ya moojikas daye yer,offensive untargeted
""" @skcreate492  , ninna kunne bvc""",offensive untargeted
Shetty gale jasthi madodhu ninna jaathi 😊,not offensive
Full movie padere sanniya nik bega padme indame,offensive untargeted
ayag hero g pathere barpuje.dubbing d voice korther,not offensive
Bevarciii Mari Tulu pitcher,offensive untargeted
bro history toole enkul inspiration mallakle,not offensive
Navin dramakke sari cinimakke unpit natane baradu boraguttade,not tulu
"Walter sir,  eerana laptop  pond. Mella vothule sir.",not offensive
ಮೊದಲು ತುಳು ವಾದರು ಇರಲಿ ಕನ್ನಡದಲ್ಲಾದರು ಇರಲಿ ನಂತರ ಆಂಗ್ಲದಲ್ಲಿ ಇರಲಿ.,not tulu
ದಾನರಾಜಣ್ಣ half ಊಟ ತಿಂದ ಮತ್ತೆ ಉಳಿದವರು ಶುರುಮಾಡಿದರು 😂😂😂,not tulu
"Tulu first , English second, Hindi third and then kannada should be given priority in mangalore.✅️<br>Jai tulunad🗿🤫",not tulu
"Yenchi saav marre !!  Dada matha Maya undaaa,",offensive untargeted
ವಾರೆ ವ್ಹಾ ಚಿಂದಿ,not tulu
"Pukuli fans like , dada savv song marre",offensive untargeted
Ninna mathrbhashege estu preethi thoristhidya alva....nam mathr bhase namge bedva,not tulu
ಸತ್ಯ ಪನ್ಪೆ... ಕಡೇಕ್ ಬೋರಾಂಡ್...ಪರ ಜೋಕ್ ಬೊಡ್ಚಿತ್ತ್ಂಡ್,not offensive
My favorite tanvi rao<br>Yan aregu gosara ah serial tupuni<br>Arna smile nd acting superb dance it&#39;s tooo superb ❤❤❤❤,not offensive
@@harshithkudla1394 ನಿನ್ ತೈವ bvc,offensive untargeted
"ರಾಜೇಶಣ್ಣ,ಸುರೇಶಣ್ಣ  ಇತ್ತಿಂಡ ಸೂಪರ್ ಕಾಮಿಡಿ",not offensive
This is Karnataka Kanaada should get more importance,not tulu
ಶುರು ಶುರು ಕಲ್ಪುನಗ ಬಾಯಿದೆ ಬರ್ಪುಂಡು😂,not offensive
Beautiful..... Ajja na karnikada bagge thojayina onji yedde film.... Acting music everything was brilliant.... ️️️.....,not offensive
Pooja Poojary ..  Mo,not tulu
ನಾಯಿ.. ಕುಲ್ಲು ಮನಿಪಂದೆ,offensive untargeted
"Nannadu Tulunad ninna Kannada nela alla bolimagne DK, Udupi and Kasargodu districts are Tulunad .ninna kannada da neeru been kudi Namge herike kudislikke barbeda",not tulu
ಮನೋರಂಜನೆಯ ಮಹಾ ಪೂರ,not tulu
programm aanaga andala add kororchi thirth d,not offensive
Nerd nikleg owla parake da yakshagana gobayere apuja saw... undu onji comedy ya,offensive targeted
"Youngsters of Tulunad are more educated and have read about their history, culture and language... That is why we have very high pride for our language, so if Karnataka government does not make Tulu as second official language of Karnataka very soon, the demand for separate state will be definitely increasing day by day...",not tulu
ajjjina wa jollly,not offensive
ಲವ್ ಯು sogs,not offensive
Dala yedde athiji anna,not offensive
Aishwarya aatid barre ballithnd,not offensive
Super 😅😂,not tulu
ಬೋರ್ full ಬೋರ್,not offensive
ಮುಕ್ಕೆಕೆ ತುಲ್ಲಿನಾ ರಸ ಹಚ್ಕೊಂಡು ಬಿಳಿ ಹಾಗಿದ್ಯ ಸೂಳೆ ಕರೆತುಲ್ನಾ ಕೇಯಬೇಕು ಬಾರೆ ತುಲ್ಲುಗೆ ತುಣ್ಣೆ ಹಾಕ್ತಿನಿ  ರಸ ಬಿಡುತೀನಿ,not tulu
"Yenkalna tulu lipi artha avandileka malthini ninna kannada imposition, kannadadaklen schoold kannada Kalpayer...",offensive targeted
"​@@norafatehfan1333 dude stop acting. we all know how u treat kannadigas. calling them gowde, gattadaye aren&#39;t cool.",not tulu
Why can&#39;t you protest??,not tulu
"Koridatta hemmeda gobbu,kambla de lekka ,avu   nija,doubt ijji",not offensive
Mc savuda mc ayana.. Navine nanji d saipe.....ayag avve pokala.........bukka,offensive targeted
Echane meking video budothippi,not offensive
"E bvc gk bhatta, nik kannada bodanda bangalore podu kannadadaklen pinkan dekkula, Yenkalna tulu lipi artha avandileka malthini ninna kannada imposition, schoold kannada Kalpayer, anda yenkalna appe bhaseda hostory majada budiyer... Nikalnanchina bvclu ithinavet  Yenkalna permeda Tulunad majondu bathinj..",offensive targeted
"ತುಳು ಭಾಷೆ, ಕನ್ನಡ ಭಾಷೆ ಇಂಗ್ಲಿಷ್ ನಲ್ಲಿ ಬರೆದು ಬಿಡಿ ಟೆನ್ಶನ್ ಇರಲ್ಲ....",not tulu
Next episode kambula plzz,not offensive
Next song kunne maya,offensive untargeted
Bigg ಬಾಸ್ Dhanraj  Dhanraj ore new Bigg Boss birthday album   <br><br>My  name  is  ishta  my initial is  s very comedy super,not tulu
"Konkani Also There, Byri Also There... Wot Is Ninayyan Tullu",not tulu
These two are an amazing combination... Their comic timing is too good,not tulu
Andh plzz raj sounds and lights padle,not offensive
Tigalda katta🤣🤣,offensive untargeted
Sound ye ijji saaav,not offensive
Dada avastha mara,offensive targeted
Chiii naraka da,not offensive
ಪೊಂಗು ಅತ್ತ್ ಗುಂಗು,not offensive
Enchi pankda comedy,not offensive
"shet up marla😅😅😅""",not tulu
Nice acting,not tulu
sound borchitthnd 🤐 yaan speakers d dhithini marre 🙆‍♂️🙆‍♂️🙆‍♂️🤣,not offensive
Ye yenchinaya kenre aapuji,not offensive
@@KiranKiran-lc6kxbro we are in tulunadu nt in Karnataka Kasargod to Kundapura- tulunadu. But we dnt hate Kannada that’s second,not tulu
@@AbhiAbhi-xc8ll first check how many Kannada schools r there in Dakshina Kannada &amp; udupi all r closed are u sending ur kids n Kannada midi-am school?,not tulu
Chandi kory 2 release plz🎉,not offensive
"Karnatkadalli kannadave raaja, thank you sir",not tulu
Sava avana aje shunti️ Yetha,offensive targeted
Punk... Nimman Thullu,offensive untargeted
I think it is releasing online via talkies app .....thats why,not tulu
ಅಜ್ಜಿ shunti mukulena,not offensive
dada umbe ajji g dayag satawoon,not offensive
You are in Bigg Boss right,not tulu
"dada chattambade na ,,... 😃",not offensive
"@@manjubn7211 Le Triple Muttala Illade Erodhu Yello Haaktare, Karnatakadalli Kannadave Haakodhu... Hate Maadodu En Banthu",not tulu
ಸೂಪರ್ ಬ್ರೋ ಅಯ್ಟ್  ಒರಿ ಕಾವಳಮೂಡುರು ಗ್ ಬಾಯಿದ್ದಿತಾರ್,not offensive
Marathi picture daa copy,not offensive
"It is called &quot;How to divide Hindus and divide Hindu votes&quot; Divide them based on language, castes, subsects, let them quarrel, while other religions come together.  Get ruled and oppressed by outsiders.  If we don&#39;t see this after hundreds of years of oppression, we are doomed.  Keep fighting, help the anti-Hindu and anti-Indic brigade, Good Luck.",not tulu
I have myself faced discrimination from tulu speakers in my job in bengaluru. and also in mumbai.,not tulu
Yenna mokeda hero❤️❤️❤️🔥🌍,not offensive
Comedy saavu pankda enchi,offensive untargeted
"Pls be careful while sowing separatist intent.... Separtist tendencies in the name of Religion, Language, Caste shall lead of enormous civilian strife.... Bharat already has many such brewings...You are free to speak any language and do whatever you want.... If anybody tries to impose something, you always have law enforcement agencies and judiciary...",not tulu
"Even in tulunadu,only 55% tulu speakers 30% kannada  konkani 10% byari 5% so again same problem happens in tulunadu matte problem aagutte",not tulu
yetha sava avana aje shunti😅😅😅😅😅😅😅😅😅😉😚😉😉😉🤫🤫🤫🤑🤑🤫☺️🤫😛😚🤔🤫🤑🤑🤫,offensive untargeted
"@@sandeshshetty3595 lol add comma &quot;,&quot; after bevarsi word.",offensive untargeted
Amerda pan Ninna,offensive untargeted
Female voice is superb  man❤🎉 love you tulu Nadu,not tulu
"Kannada herike aagtide antha helodikke proof ille ide <a href=""https://www.youtube.com/watch?v=h6CPTigthzk&amp;t=259"">4:19</a>",not tulu
Music masth aand otherwise good,not offensive
dada mare poona na voice depule ye😂🤣,not offensive
Mekleg sanni full movie padere,offensive untargeted
ಕರ್ನಾಟಕದಲ್ಲಿ ಕನ್ನಡ ಇದಿಯಾ ಅಥವಾ ತುಳುನಾಡಿನಲ್ಲಿ ಕರ್ನಾಟಕ ಇದಿಯಾ ಗೊತಾಗುತಿಲ್ಲ ಮರ್ರೆ. ನೀವುಗಳೇ ಹೀಗೆ ಕಿತ್ತಾಡಿಕೊಂಡು ಕುಳಿತರೆ ಬೇರೆ ಭಾಸಿಕರು ನಮಗೆ ಬಗ್ನಿ ಕೂಟ ಹೊಡೆಯೋದು ಗ್ಯಾರಂಟಿ. ಭಾವಿಯೊಳಗಿನ ಕಪ್ಪೆ ಆಗದೆ ವಿಶಾಲವಾಗಿ ಯೋಚಿಸಿ ನಮ್ಮತನವನ್ನು ಉಳಿಸಿಕೊಳ್ಳೋಣ.,not tulu
text,not tulu
Full movie korle please,not offensive
Ivr kade movie hero galige name and fame ge Kannada language and industry beku but Kannada namma language anta opkoloke ishta illa….,not tulu
bvc santhu na mast over avondh undu.,offensive untargeted
ವೊಂಚಿ ಕೋಮಿಡಿ ಮಾರೆ.. ಕೋಮಣ ಲಾಟಿಪೋಟ್ ಕಾಮಿಡಿ,offensive untargeted
Anchor saava na,offensive untargeted
"@@gauthamkshatriya2953 kannada people are biggest hypocrites idc if u agree or not, we feel happy if we see kannada board in other states,if people from other states talk kannada,but when the tables turn we say they r disrespectful,brat, and what not,stop this regionalism we all are indians just divided by borders.",not tulu
Tulu should bi first language in Mangalore,not tulu
komana oitt  kattle..,not offensive
@basicallynzm  e yer panare yenk🙄,not offensive
ಪಾಪ ಪುಕುಳಿ ಮಾಯಾ....,offensive untargeted
Next P*thel maya? song..,offensive untargeted
Kya Bath he 😂😂😂😂😂,not tulu
ನಮ್ಮ ತುಳುನಾಡು ನಮ್ಮ ಹೆಮ್ಮೆ❤️,not tulu
ಸೂಪರ್ ಹಾಡು😢😢😢😢😢,not tulu
"ಲೋ ನಿನ್ನ ತುಳು ಭಾಷೆಗೆ ನಮ್ಮ ಗೌರವ ಇದೆ ಆದರೆ ಕನ್ನಡದೆ ಬಾಗವಾದ ತುಳುವನ್ನು ಯಾರು ಕೂಡ ಕಡೆಗಣಿಸಿಲ್ಲ ಆದರೆ ನೀವುಗಳು ಇಂಗ್ಲೀಷ್, ಹಿಂದಿ , ಮಲಯಾಳಂ. ತಮಿಳ್ ಪ್ರಾಮುಖ್ಯತೆ ಕೊಟ್ಟು ನಿಮ್ಮ ಹಾಗೂ ಕನ್ನಡತನವನ್ನು ಹಾಲು ಮಾಡಬೇಡಿ",not tulu
Tamil supera pesuranga,not offensive
Tamil movie  scene copy atty,not offensive
Superb concept 🙂,not tulu
Dada sav da comedy,offensive untargeted
Aw Nana  upload aware time undu . Because aw itte running uppuna Tulu movie aw takies  tule support malpule ...❤️,not offensive
ಶಿರಸಿಯಲ್ಲಿ ಸ್ನೇಹಿತರ ಮದುವೆಗೆ ಹೋದಾಗ ಹೀಗೆ ಆಗಿತ್ತು,not tulu
beccha ice ovu maare😅😅😅,not offensive
vanas malpunaga puye mare sav😂,not offensive
Aye over malthe marre…!,not offensive
Yenchi saavda comedy,not offensive
Jai Tulunaad....Tulu is not the sister language of Khannad...,not tulu
Yenchi ya blinking sav,offensive untargeted
Movie paninath eddejji,not offensive
"""malpunanda orane film upload malpule marre,nikalna tigale na 1-1 vara gap d upload malpun 😂😂""",not offensive
